Month,Weekday,Turbidity,Air Temperature (°C)
1,Tuesday,46.7,-6.333333333333332
1,Wednesday,44.4,-6.599999999999999
1,Wednesday,42.9,-6.694444444444445
1,Wednesday,42.6,-6.177777777777779
1,Wednesday,44.3,-6.155555555555555
1,Wednesday,45.7,-6.122222222222222
1,Wednesday,42,-5.866666666666666
1,Wednesday,41.5,-5.877777777777776
1,Wednesday,43.4,-6.094444444444444
1,Wednesday,43.6,-6.177777777777779
1,Wednesday,43.2,-5.927777777777779
1,Wednesday,47.3,-6.0555555555555545
1,Wednesday,45.1,-6.205555555555557
1,Wednesday,48.2,-6.4944444444444445
1,Wednesday,49.5,-6.7444444444444445
1,Wednesday,48.7,-6.783333333333334
1,Wednesday,48.3,-6.577777777777778
1,Wednesday,47.5,-6.927777777777777
1,Wednesday,41.2,-7.422222222222222
1,Wednesday,37.3,-7.333333333333333
1,Wednesday,38.2,-7.694444444444445
1,Wednesday,38.4,-8.494444444444444
1,Wednesday,37,-9.261111111111113
1,Wednesday,35.1,-9.355555555555556
1,Wednesday,34.7,-9.505555555555555
1,Wednesday,32.4,-9.677777777777779
1,Wednesday,34.5,-9.449999999999998
1,Wednesday,32.5,-8.43888888888889
1,Wednesday,23.3,-9.61111111111111
1,Wednesday,21.9,-9.955555555555556
1,Wednesday,22.4,-9.516666666666667
1,Wednesday,21.6,-9.911111111111111
1,Wednesday,23.7,-10.066666666666666
1,Wednesday,23.5,-10.166666666666666
1,Wednesday,22.6,-10.166666666666666
1,Wednesday,22.7,-10.144444444444442
1,Wednesday,23,-10.02222222222222
1,Wednesday,23,-9.777777777777779
